"","CO_ID","CoName","Date","Close","Volume"
"2381","0056   ","PTD          ",20131011,18.45,1792
"2382","006205 ","FB SSE180_0  ",20131011,20.69,3858
"2383","0050   ","Yuanta Taiwan Top50",20131014,48.12,6623
"2384","0056   ","PTD          ",20131014,18.25,3259
"2385","006205 ","FB SSE180_0  ",20131014,20.76,4688
"2386","0050   ","Yuanta Taiwan Top50",20131015,48.53,8042
"2387","0056   ","PTD          ",20131015,18.33,1467
"2388","006205 ","FB SSE180_0  ",20131015,20.74,4381
"2389","0050   ","Yuanta Taiwan Top50",20131016,48.32,7029
"2390","0056   ","PTD          ",20131016,18.32,2364
"2391","006205 ","FB SSE180_0  ",20131016,20.47,5056
"2392","0050   ","Yuanta Taiwan Top50",20131017,48.57,5062
"2393","0056   ","PTD          ",20131017,18.37,1246
"2394","006205 ","FB SSE180_0  ",20131017,20.64,4992
"2395","0050   ","Yuanta Taiwan Top50",20131018,48.99,14818
"2396","0056   ","PTD          ",20131018,18.45,1211
"2397","006205 ","FB SSE180_0  ",20131018,20.66,5232
"2398","0050   ","Yuanta Taiwan Top50",20131021,48.95,6552
"2399","0056   ","PTD          ",20131021,18.43,2280
"2400","006205 ","FB SSE180_0  ",20131021,20.8,5356
"2401","0050   ","Yuanta Taiwan Top50",20131022,48.95,7199
"2402","0056   ","PTD          ",20131022,18.43,1260
"2403","006205 ","FB SSE180_0  ",20131022,20.66,5139
"2404","0050   ","Yuanta Taiwan Top50",20131023,48.7,8639
"2405","0056   ","PTD          ",20131023,18.45,2328
"2406","006205 ","FB SSE180_0  ",20131023,20.46,6320
"2407","0050   ","Yuanta Taiwan Top50",20131024,48.87,7935
"2408","0056   ","PTD          ",20131024,18.43,3891
"2409","006205 ","FB SSE180_0  ",20131024,20.48,4820
"2410","0050   ","Yuanta Taiwan Top50",20131025,48.49,11177
"2411","0056   ","PTD          ",20131025,18.3,3263
"2412","006205 ","FB SSE180_0  ",20131025,20.38,5225
"2413","0050   ","Yuanta Taiwan Top50",20131028,48.83,6936
"2414","0056   ","PTD          ",20131028,18.27,1403
"2415","006205 ","FB SSE180_0  ",20131028,20.08,5663
"2416","0050   ","Yuanta Taiwan Top50",20131029,49.04,5790
"2417","0056   ","PTD          ",20131029,18.27,1299
"2418","006205 ","FB SSE180_0  ",20131029,20.03,5678
"2419","0050   ","Yuanta Taiwan Top50",20131030,49.17,4375
"2420","0056   ","PTD          ",20131030,18.39,526
"2421","006205 ","FB SSE180_0  ",20131030,20.4,5056
"2422","0050   ","Yuanta Taiwan Top50",20131031,49.17,6045
"2423","0056   ","PTD          ",20131031,18.41,696
"2424","006205 ","FB SSE180_0  ",20131031,20.21,5374
"2425","0050   ","Yuanta Taiwan Top50",20131101,48.91,6293
"2426","0056   ","PTD          ",20131101,18.19,4448
"2427","006205 ","FB SSE180_0  ",20131101,20.28,4633
"2428","0050   ","Yuanta Taiwan Top50",20131104,48.7,6647
"2429","0056   ","PTD          ",20131104,18.11,2802
"2430","006205 ","FB SSE180_0  ",20131104,20.35,4755
"2431","0050   ","Yuanta Taiwan Top50",20131105,48.23,7879
"2432","0056   ","PTD          ",20131105,17.97,3146
"2433","006205 ","FB SSE180_0  ",20131105,20.22,5053
